ID,totalpobl,dens pob,hogares,Desocupado,0 - 14,65 y mayor,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,macroz_2,Clasifica,Seccion,X_WGS,Y_WGS,Calidad_Residuo
1033,266,29.071,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,2,1,3,-68.83001,-32.88774,
1037,426,69.985,195,11,50,90,7,32,11,82,12,55,188,17,400,9,0,0,0,2,1,2,-68.84054,-32.89498,
1040,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83163,-32.89275,
1041,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83455,-32.89273,
1042,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83295,-32.89283,
1043,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83251,-32.89284,
1044,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83211,-32.89285,
1045,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,2,-68.8348,-32.89606,
1048,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83469,-32.89491,
1049,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83293,-32.89518,
1050,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83229,-32.89424,
1051,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83299,-32.89412,
1052,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83294,-32.89522,
1053,699,46.368,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,2,1,3,-68.83463,-32.89382,
