poblacion,0-14,primario,secundario,polimodal,lee_y _esc,NoLee_ni_e
730.0,137.0,153.0,236.0,19.0,669.0,34.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
612.0,105.0,68.0,120.0,19.0,578.0,15.0
612.0,105.0,68.0,120.0,19.0,578.0,15.0
612.0,105.0,68.0,120.0,19.0,578.0,15.0
730.0,137.0,153.0,236.0,19.0,669.0,34.0
1057.0,300.0,430.0,254.0,55.0,904.0,90.0
1057.0,300.0,430.0,254.0,55.0,904.0,90.0
947.0,140.0,124.0,234.0,44.0,884.0,30.0
947.0,140.0,124.0,234.0,44.0,884.0,30.0
947.0,140.0,124.0,234.0,44.0,884.0,30.0
806.0,143.0,147.0,230.0,31.0,739.0,29.0
585.0,90.0,91.0,148.0,25.0,556.0,11.0
924.0,136.0,120.0,224.0,36.0,864.0,31.0
575.0,88.0,68.0,138.0,24.0,529.0,20.0
620.0,101.0,79.0,156.0,29.0,577.0,22.0
581.0,88.0,52.0,135.0,14.0,547.0,15.0
581.0,88.0,52.0,135.0,14.0,547.0,15.0
831.0,138.0,134.0,217.0,30.0,775.0,36.0
947.0,140.0,124.0,234.0,44.0,884.0,30.0
519.0,65.0,73.0,119.0,9.0,484.0,14.0
519.0,65.0,73.0,119.0,9.0,484.0,14.0
519.0,65.0,73.0,119.0,9.0,484.0,14.0
963.0,204.0,204.0,278.0,28.0,868.0,41.0
519.0,65.0,73.0,119.0,9.0,484.0,14.0
730.0,137.0,153.0,236.0,19.0,669.0,34.0
581.0,88.0,52.0,135.0,14.0,547.0,15.0
519.0,65.0,73.0,119.0,9.0,484.0,14.0
585.0,90.0,91.0,148.0,25.0,556.0,11.0
806.0,143.0,147.0,230.0,31.0,739.0,29.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
1057.0,300.0,430.0,254.0,55.0,904.0,90.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
581.0,88.0,52.0,135.0,14.0,547.0,15.0
581.0,88.0,52.0,135.0,14.0,547.0,15.0
1255.0,280.0,295.0,263.0,37.0,1121.0,67.0
575.0,88.0,68.0,138.0,24.0,529.0,20.0
277.0,33.0,27.0,67.0,12.0,267.0,6.0
277.0,33.0,27.0,67.0,12.0,267.0,6.0
