fid,NOMBRE,heatmap_co
641,MUÃƒâ€˜IZ JAVIER E DR PJE,2.37618
642,MUÃƒâ€˜IZ JAVIER E DR PJE,3.03418
643,CERRO LOS GEMELOS BV,
644,CERRO LOS GEMELOS BV,
645,ITALIA,3.03418
646,ITALIA,3.76717
647,ITALIA,3.03418
648,ITALIA,3.76717
649,ITALIA,4.29901
650,ITALIA,4.29901
651,ITALIA,3.76717
652,ITALIA,3.76717
653,CHACO,4.29901
654,CHACO,3.45904
655,CHACO,3.45904
656,CHACO,4.29901
657,PATRICIAS MENDOCINAS,7.29262
658,PATRICIAS MENDOCINAS,7.29262
659,PATRICIAS MENDOCINAS,5.55332
660,PATRICIAS MENDOCINAS,7.29262
661,PATRICIAS MENDOCINAS,5.55332
662,PATRICIAS MENDOCINAS,5.55332
663,ESTRADA JOSE MANUEL,7.29262
664,ESTRADA JOSE MANUEL,7.29262
665,ESTRADA JOSE MANUEL,7.98024
666,ESTRADA JOSE MANUEL,7.98024
667,ESTRADA JOSE MANUEL,7.98024
668,ESTRADA JOSE MANUEL,7.29262
669,ITALIA,4.91633
670,ITALIA,4.29901
671,ITALIA,4.91633
672,ITALIA,4.29901
673,ITALIA,4.91633
674,ITALIA,4.91633
675,ITALIA,5.50787
676,ITALIA,5.50787
677,ARTIGAS JOSE GERVASIO GRAL,3.15697
678,ARTIGAS JOSE GERVASIO GRAL,5.50787
679,ARTIGAS JOSE GERVASIO GRAL,5.50787
680,ARTIGAS JOSE GERVASIO GRAL,3.15697
681,CORDON DEL PLATA SUR,2.17173
682,CORDON DEL PLATA SUR,0.76810
683,CORDON DEL PLATA SUR,2.17173
684,CORDON DEL PLATA SUR,0.76810
685,BAGLIETO ING,0.54168
686,BAGLIETO ING,0.69135
687,BAGLIETO ING,0.69135
688,BAGLIETO ING,0.54168
689,ITALIA,5.50787
690,ITALIA,5.50787
691,ITALIA,6.90451
692,ITALIA,6.90451
693,ITALIA,6.90451
694,VUCETICH JUAN,3.51054
695,VUCETICH JUAN,6.90451
696,VUCETICH JUAN,6.90451
697,VUCETICH JUAN,6.90451
698,VUCETICH JUAN,3.51054
699,DE SAN MARTIN JOSE GRAL AV,13.15153
700,DE SAN MARTIN JOSE GRAL AV,13.15153
