punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
DE ESCALADA DE SAN MARTIN R,7019,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,57,-68.83566847,-32.87747674
EL PARRAL,7032,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,9,-68.84316981,-32.8775044
LA RIOJA,7039,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,50,-68.83493105,-32.87752987
VENDIMIADORES,7050,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,7,-68.8426675,-32.87754885
LARRALDE,7055,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,2,-68.87023915,-32.87763539
VENDIMIADORES,7059,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,7,-68.84238964,-32.87756654
FCGSM,7061,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,12,-68.84661048,-32.8775808
VENDIMIADORES,7066,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,7,-68.84212246,-32.87758423
VENDIMIADORES,7068,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,7,-68.84186595,-32.87761096
SALTA,7072,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,31,-68.83364863,-32.8776003
DEL CASTILLO,7085,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.8694672,-32.87766084
POSTA DEL RETAMO,7087,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,4,-68.8717753,-32.87767225
POSTA DEL RETAMO,7091,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,4,-68.87166114,-32.87734971
INGENIEROS JOSE,7097,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87329266,-32.87769183
MITRE BARTOLOME GRAL AV,7104,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,6,-68.84141707,-32.87765548
MITRE BARTOLOME GRAL AV,7112,Interseccion,500070105,571,266,29,77,104,18,65,24,146,18,68,203,6,534,21,0,0,1,6,-68.8412247,-32.87767327
MORENO JOSE FEDERICO,7123,Interseccion,500070213,808,311,23,156,102,37,179,36,251,37,68,149,8,738,40,5,0,1,25,-68.83224866,-32.87767057
MARTINEZ DE ROZAS JUAN,7133,Interseccion,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,34,-68.8529469,-32.87772367
MONTECASEROS,7144,Interseccion,500070213,808,311,23,156,102,37,179,36,251,37,68,149,8,738,40,5,0,1,25,-68.83083801,-32.8777408
PERU,7158,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,22,-68.84538122,-32.87781373
ITUZAINGO,7165,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,23,-68.82943804,-32.87781104
CUYO,7177,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87108044,-32.87786991
HUARPES,7181,Interseccion,500070608,949,349,16,165,115,37,106,44,170,31,109,364,31,862,44,3,0,1,14,-68.85813997,-32.8778559
HUARPES,7185,Interseccion,500070608,949,349,16,165,115,37,106,44,170,31,109,364,31,862,44,3,0,1,13,-68.85815063,-32.87787394
DEL VALLE ARISTOBULO,7189,Interseccion,500071018,1373,0,0,4,12,2,749,171,290,65,12,29,0,1315,58,0,0,0,5,-68.85944319,-32.87762457
VIDELA CASTILLO,7194,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,22,-68.82799531,-32.87789021
PALACIOS PEDRO BENJAMIN,7207,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,16,-68.82701213,-32.87793394
VIDELA RICARDO GDOR,7218,Interseccion,500281001,990,314,31,218,119,42,268,52,332,43,64,112,3,889,50,2,0,6,15,-68.82690527,-32.87793379
CABILDO DE MENDOZA,7226,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87114431,-32.87804129
PERU,7228,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,22,-68.84544497,-32.87802119
OLASCOAGA LAURENTINO CNEL,7234,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,27,-68.85120458,-32.87804621
SUIPACHA,7244,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,23,-68.85076633,-32.87812684
PASO DE LOS ANDES,7249,Interseccion,500070608,949,349,16,165,115,37,106,44,170,31,109,364,31,862,44,3,0,1,24,-68.8567183,-32.87814282
CUYO,7261,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,2,-68.87047086,-32.87821192
FCGSM,7265,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,10,-68.84676973,-32.87818513
BENEGAS TIBURCIO,7271,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,17,-68.85012498,-32.8782433
