ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
I21;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;1;Residencial urbano;Urbano;-68,84714896;-32,86268552;94
I22;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;6;Residencial urbano;Urbano;-68,84299276;-32,86276153;95
I23;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;5;Residencial urbano;Urbano;-68,84393293;-32,86277172;96
I24;500490915;Intersercción;958;287;37;207;143;29;174;82;276;73;69;182;2;868;45;3;0;7;12;Comercial;Altamente urbano;-68,83258645;-32,86282468;97
I25;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;3;Residencial urbano;Urbano;-68,84872985;-32,86288582;98
I26;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;7;Residencial urbano;Urbano;-68,84203097;-32,86289557;99
I27;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;3;Residencial urbano;Urbano;-68,84923185;-32,86296758;100
I28;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;4;Residencial urbano;Urbano;-68,84978727;-32,86305841;101
I29;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;7;Comercial;Altamente urbano;-68,84301359;-32,86306813;102
I30;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;4;Residencial urbano;Urbano;-68,85057769;-32,86317658;103
I31;500070702;Intersercción;1018;346;46;182;195;40;216;27;274;39;137;208;14;922;58;2;0;2;5;Residencial urbano;Urbano;-68,8382163;-32,86316121;104
I32;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;5;Residencial urbano;Urbano;-68,83903923;-32,863018;105
I33;;Intersercción;;;;;;;;;;;;;;;;;;;;N/A;N/A;-68,85897529;-32,86320436;106
I34;;Intersercción;;;;;;;;;;;;;;;;;;;;N/A;N/A;-68,85909548;-32,86320901;107
I35;;Intersercción;;;;;;;;;;;;;;;;;;;;N/A;N/A;-68,85929579;-32,86321374;108
I36;500070702;Intersercción;1018;346;46;182;195;40;216;27;274;39;137;208;14;922;58;2;0;2;5;Residencial urbano;Urbano;-68,83806667;-32,86318806;109
I37;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;2;Residencial urbano;Urbano;-68,85133618;-32,86322257;110
I38;;Intersercción;;;;;;;;;;;;;;;;;;;;N/A;N/A;-68,8597658;-32,86327288;111
I39;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;1;Residencial urbano;Urbano;-68,85210535;-32,86326856;112
I40;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;0;Residencial urbano;Urbano;-68,85293864;-32,86330561;113
I41;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;8;Residencial urbano;Urbano;-68,84391062;-32,86331271;114
I42;500490915;Intersercción;958;287;37;207;143;29;174;82;276;73;69;182;2;868;45;3;0;7;14;Comercial;Altamente urbano;-68,83252947;-32,86329799;115
I43;500491217;Intersercción;733;235;21;158;50;28;111;16;180;19;100;234;5;672;32;0;0;0;0;Residencial urbano;Urbano;-68,85359032;-32,86333343;116
I44;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;7;Residencial urbano;Urbano;-68,84464777;-32,86334068;117
I45;;Intersercción;;;;;;;;;;;;;;;;;;;0;N/A;N/A;-68,86051353;-32,86336839;118
I46;500491217;Intersercción;733;235;21;158;50;28;111;16;180;19;100;234;5;672;32;0;0;0;1;Residencial urbano;Urbano;-68,85419927;-32,86336119;119
I47;;Intersercción;;;;;;;;;;;;;;;;;;;0;N/A;N/A;-68,86053756;-32,86337293;120
