ID,radio_censal,punto_tipo,poblacion,hogares,desocupado,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_agua,sin_cloaca,densidad_comercial,microzonificacion,macrozonificacion,x,y,index,clasificacion
I2096,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,12.0,Residencial urbano,Urbano,"-68,85170101","-32,90237886",2169,0.0
I2097,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,12.0,Residencial urbano,Urbano,"-68,85162351","-32,90238328",2170,0.0
I2098,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,13.0,Residencial urbano,Urbano,"-68,85183727","-32,90239255",2171,0.0
I2099,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,9.0,Residencial urbano,Urbano,"-68,85114249","-32,90240074",2172,0.0
I2100,500070808.0,Intersercción,401.0,147.0,2.0,54.0,84.0,10.0,44.0,13.0,81.0,11.0,21.0,194.0,18.0,383.0,13.0,0.0,0.0,0.0,17.0,Residencial urbano,Urbano,"-68,84721973","-32,90239601",2173,0.0
I2101,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,6.0,Residencial urbano,Urbano,"-68,85020179","-32,90245371",2174,0.0
I2102,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,45.0,Comercial,Altamente urbano,"-68,84169354","-32,90246127",2175,0.0
I2103,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,16.0,Comercial,Altamente urbano,"-68,85285252","-32,90250195",2176,0.0
I2104,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,16.0,Comercial,Altamente urbano,"-68,85283114","-32,90250192",2177,0.0
I2105,500070808.0,Intersercción,401.0,147.0,2.0,54.0,84.0,10.0,44.0,13.0,81.0,11.0,21.0,194.0,18.0,383.0,13.0,0.0,0.0,0.0,21.0,Residencial urbano,Urbano,"-68,84651409","-32,90250334",2178,0.0
I2108,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,26.0,Comercial,Altamente urbano,"-68,8382302","-32,90256504",2181,0.0
I2109,500070808.0,Intersercción,401.0,147.0,2.0,54.0,84.0,10.0,44.0,13.0,81.0,11.0,21.0,194.0,18.0,383.0,13.0,0.0,0.0,0.0,25.0,Residencial urbano,Urbano,"-68,84585125","-32,90258368",2182,0.0
I2110,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,30.0,Residencial urbano,Urbano,"-68,84542364","-32,90261922",2183,0.0
I2115,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,26.0,Comercial,Altamente urbano,"-68,84056013","-32,90268525",2188,0.0
I2116,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,36.0,Residencial urbano,Urbano,"-68,8449318","-32,90270878",2189,0.0
I2119,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,24.0,Comercial,Altamente urbano,"-68,83965128","-32,90285541",2192,0.0
I2120,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,50.0,Residencial urbano,Urbano,"-68,8439588","-32,90288791",2193,0.0
I2121,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,26.0,Comercial,Altamente urbano,"-68,83930911","-32,9029271",2194,0.0
I2126,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,28.0,Comercial,Altamente urbano,"-68,83836817","-32,90310622",2199,0.0
I2127,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,52.0,Comercial,Altamente urbano,"-68,84268641","-32,90312977",2200,0.0
I2128,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,5.0,Residencial urbano,Urbano,"-68,85061744","-32,90317556",2201,0.0
I2131,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,5.0,Residencial urbano,Urbano,"-68,85029405","-32,90320673",2204,0.0
I2133,500281601.0,Intersercción,836.0,278.0,27.0,161.0,137.0,19.0,227.0,63.0,250.0,41.0,79.0,103.0,1.0,771.0,28.0,1.0,0.0,13.0,21.0,Comercial,Altamente urbano,"-68,83750207","-32,90327642",2206,1.0
I2134,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,4.0,Residencial urbano,Urbano,"-68,84937732","-32,90330031",2207,0.0
I2135,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,7.0,Residencial urbano,Urbano,"-68,8486931","-32,90338064",2208,0.0
