SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74.107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-68.8562,-32.87275,"-68,8562-32,87275",5544,8.47164
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74.107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-68.85638,-32.87384,"-68,85638-32,87384",2438,7.37232
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74.107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-68.85625,-32.87439,"-68,85625-32,87439",6224,7.37802
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74.107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-68.85785,-32.87681,"-68,85785-32,87681",6897,19.521
5ta Seccion Residencial Sur,Residencial urbano,Urbano,56.481,5,Residencial Sur,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,,,,-68.85899,-32.887,"-68,85899-32,887",9522,12.08789
9na Seccion Parque Gral. San Martin,Residencial urbano,Urbano,56.481,9,Parque Gral. San Martin,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,,,,-68.86099,-32.88544,"-68,86099-32,88544",9150,6.79457
9na Seccion Parque Gral. San Martin,Residencial urbano,Urbano,56.481,9,Parque Gral. San Martin,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,,,,-68.86122,-32.88657,"-68,86122-32,88657",9421,5.62063
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86361,-32.86473,"-68,86361-32,86473",737,1.29306
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86597,-32.86476,"-68,86597-32,86476",746,9.2402
,Residencial urbano,Urbano,76.645,4,Cuarta Oeste,500070702,1018,346,46,182,195,40,216,27,274,39,137,208,14,922,58,2,0,2,,,,-68.83541,-32.86475,"-68,83541-32,86475",785,6.55162
